metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
netdata.aclk_cloud_req,,"received, malformed",req/s,Requests received from cloud (netdata.aclk_cloud_req),stacked,,netdata,stats
netdata.aclk_cloud_req_http_type,,"other, info, data, alarms, alarm_log, chart, charts, function, functions",req/s,Requests received from cloud via HTTP by their type (netdata.aclk_cloud_req_http_type),stacked,,netdata,stats
netdata.aclk_mqtt_tx_perc,,used,%,"Actively used percentage of MQTT Tx Buffer, (netdata.aclk_mqtt_tx_perc)",line,,netdata,stats
netdata.aclk_mqtt_tx_queue,,"usable, reclaimable, used, free, size",B,State of transmit MQTT queue. (netdata.aclk_mqtt_tx_queue),line,,netdata,stats
netdata.aclk_mqtt_wss_time,,"keep-alive, socket_read_ssl, socket_write_ssl, process_websocket, process_mqtt",us,"Time spent handling MQTT, WSS, SSL and network communication. (netdata.aclk_mqtt_wss_time)",stacked,,netdata,stats
netdata.aclk_openssl_bytes,,"sent, received",B/s,Received and Sent bytes. (netdata.aclk_openssl_bytes),stacked,,netdata,stats
netdata.aclk_processed_query_type,,"unknown, http_api_request_v2, register_node, node_state_update, chart_and_dim_update, chart_config_updated, reset_chart_messages, update_retention_info, update_node_info, alarm_checkpoint, provide_alarm_config, alarm_snapshot, update_node_collectors, generic_binary_proto_message",cmd/s,Query thread commands processed by their type (netdata.aclk_processed_query_type),stacked,,netdata,stats
netdata.aclk_protobuf_rx_types,,"cmd, CreateNodeInstanceResult, SendNodeInstances, StreamChartsAndDimensions, ChartsAndDimensionsAck, UpdateChartConfigs, StartAlarmStreaming, SendAlarmCheckpoint, SendAlarmConfiguration, SendAlarmSnapshot, DisconnectReq, ContextsCheckpoint, StopStreamingContexts, CancelPendingRequest",msg/s,Received new cloud architecture messages by their type. (netdata.aclk_protobuf_rx_types),stacked,,netdata,stats
netdata.aclk_query_per_second,,"added, dispatched",queries/s,ACLK Queries per second (netdata.aclk_query_per_second),area,,netdata,stats
netdata.aclk_query_threads,,"Query 0, Query 1, Query 2, Query 3, Query 4, Query 5",req/s,Queries Processed Per Thread (netdata.aclk_query_threads),stacked,,netdata,stats
netdata.aclk_query_time,,"avg, max, total",us,Time it took to process cloud requested DB queries (netdata.aclk_query_time),line,,netdata,stats
netdata.aclk_status,,online,connected,ACLK/Cloud connection status (netdata.aclk_status),line,,netdata,stats
netdata.apps_children_fix,,"cutime, cstime, cgtime, cminflt, cmajflt",percentage,Apps Plugin Exited Children Normalization Ratios (netdata.apps_children_fix),line,,apps.plugin,
netdata.apps_cpu,,"user, system",milliseconds/s,Apps Plugin CPU (netdata.apps_cpu),stacked,,apps.plugin,
netdata.apps_fix,,"utime, stime, gtime, minflt, majflt",percentage,Apps Plugin Normalization Ratios (netdata.apps_fix),line,,apps.plugin,
netdata.apps_sizes,,"calls, files, filenames, inode_changes, link_changes, pids, fds, targets, new_pids",files/s,Apps Plugin Files (netdata.apps_sizes),line,,apps.plugin,
netdata.clients,,clients,connected clients,Netdata Web Clients (netdata.clients),line,,netdata,stats
netdata.compression_ratio,,savings,percentage,Netdata API Responses Compression Savings Ratio (netdata.compression_ratio),line,,netdata,stats
netdata.db_points_read,,"/api/v1/data, /api/v1/weights, /api/v1/badge, health, ml, exporters, backfill, replication",points/s,Netdata DB Points Query Read (netdata.db_points_read),stacked,,netdata,stats
netdata.db_points_results,,"/api/v1/data, /api/v1/weights, /api/v1/badge, health, ml, replication",points/s,Netdata Points in Query Results (netdata.db_points_results),stacked,,netdata,stats
netdata.db_points_stored,,"tier0, tier1, tier2",points/s,Netdata DB Points Stored (netdata.db_points_stored),stacked,,netdata,stats
netdata.dbengine_buffers,,"pgc, mrg, opcodes, query handles, descriptors, wal, workers, pdc, pd, extent io, extent buffers, epdl, deol",bytes,Netdata DB Buffers (netdata.dbengine_buffers),stacked,,netdata,stats
netdata.dbengine_cache_hit_ratio,,"overall, main cache, extent cache, extent merge",%,Netdata Queries Cache Hit Ratio (netdata.dbengine_cache_hit_ratio),line,,netdata,stats
netdata.dbengine_compression_ratio,,savings,percentage,Netdata DB engine data extents' compression savings ratio (netdata.dbengine_compression_ratio),line,,netdata,stats
netdata.dbengine_events,,"journal v2 mapped, journal v2 unmapped, datafile creation, datafile deletion, datafile deletion spin, journal v2 indexing, retention",events/s,Netdata Database Events (netdata.dbengine_events),line,,netdata,stats
netdata.dbengine_extent_cache_events,,"evictions aggressive, evictions critical, flushes critical",events/s,Netdata extent Cache Events (netdata.dbengine_extent_cache_events),area,,netdata,stats
netdata.dbengine_extent_cache_hit_ratio,,"closest, exact",%,Netdata extent Cache Hit Ratio (netdata.dbengine_extent_cache_hit_ratio),line,,netdata,stats
netdata.dbengine_extent_cache_memory,,"free, hot, dirty, clean, index, evicting, flushing",bytes,Netdata extent Cache Memory (netdata.dbengine_extent_cache_memory),stacked,,netdata,stats
netdata.dbengine_extent_cache_memory_changes,,"new clean, evictions, new hot",bytes/s,Netdata extent Cache Memory Changes (netdata.dbengine_extent_cache_memory_changes),area,,netdata,stats
netdata.dbengine_extent_cache_memory_migrations,,"dirty to clean, hot to dirty",bytes/s,Netdata extent Cache Memory Migrations (netdata.dbengine_extent_cache_memory_migrations),area,,netdata,stats
netdata.dbengine_extent_cache_operations,,"search closest, search exact, add hot, add clean, evictions, flushes, acquires, releases, del acquires",ops/s,Netdata extent Cache Operations (netdata.dbengine_extent_cache_operations),line,,netdata,stats
netdata.dbengine_extent_cache_pages,,"clean, hot, dirty, referenced",pages,Netdata extent Cache Pages (netdata.dbengine_extent_cache_pages),line,,netdata,stats
netdata.dbengine_extent_cache_workers,,"searchers, adders, evictors, flushers, hot2dirty, jv2 flushers",workers,Netdata extent Cache Workers (netdata.dbengine_extent_cache_workers),line,,netdata,stats
netdata.dbengine_extent_target_memory,,"current, wanted, referenced, hot max, dirty max, hot, dirty",bytes,Netdata extent Target Cache Memory (netdata.dbengine_extent_target_memory),line,,netdata,stats
netdata.dbengine_extent_waste_events,,"evictions skipped, flushes cancelled, acquire spins, release spins, insert spins, delete spins, evict spins, flush spins",events/s,Netdata extent Waste Events (netdata.dbengine_extent_waste_events),line,,netdata,stats
netdata.dbengine_global_errors,,"io_errors, fs_errors, pg_cache_over_half_dirty_events",errors/s,Netdata DB engine errors (netdata.dbengine_global_errors),line,,netdata,stats
netdata.dbengine_global_file_descriptors,,"current, max",descriptors,Netdata DB engine File Descriptors (netdata.dbengine_global_file_descriptors),line,,netdata,stats
netdata.dbengine_io_operations,,"reads, writes",operations/s,Netdata DB engine I/O operations (netdata.dbengine_io_operations),line,,netdata,stats
netdata.dbengine_io_throughput,,"reads, writes",MiB/s,Netdata DB engine I/O throughput (netdata.dbengine_io_throughput),line,,netdata,stats
netdata.dbengine_main_cache_events,,"evictions aggressive, evictions critical, flushes critical",events/s,Netdata main Cache Events (netdata.dbengine_main_cache_events),area,,netdata,stats
netdata.dbengine_main_cache_hit_ratio,,"closest, exact",%,Netdata main Cache Hit Ratio (netdata.dbengine_main_cache_hit_ratio),line,,netdata,stats
netdata.dbengine_main_cache_memory,,"free, hot, dirty, clean, index, evicting, flushing",bytes,Netdata main Cache Memory (netdata.dbengine_main_cache_memory),stacked,,netdata,stats
netdata.dbengine_main_cache_memory_changes,,"new clean, evictions, new hot",bytes/s,Netdata main Cache Memory Changes (netdata.dbengine_main_cache_memory_changes),area,,netdata,stats
netdata.dbengine_main_cache_memory_migrations,,"dirty to clean, hot to dirty",bytes/s,Netdata main Cache Memory Migrations (netdata.dbengine_main_cache_memory_migrations),area,,netdata,stats
netdata.dbengine_main_cache_operations,,"search closest, search exact, add hot, add clean, evictions, flushes, acquires, releases, del acquires",ops/s,Netdata main Cache Operations (netdata.dbengine_main_cache_operations),line,,netdata,stats
netdata.dbengine_main_cache_pages,,"clean, hot, dirty, referenced",pages,Netdata main Cache Pages (netdata.dbengine_main_cache_pages),line,,netdata,stats
netdata.dbengine_main_cache_workers,,"searchers, adders, evictors, flushers, hot2dirty, jv2 flushers",workers,Netdata main Cache Workers (netdata.dbengine_main_cache_workers),line,,netdata,stats
netdata.dbengine_main_target_memory,,"current, wanted, referenced, hot max, dirty max, hot, dirty",bytes,Netdata main Target Cache Memory (netdata.dbengine_main_target_memory),line,,netdata,stats
netdata.dbengine_main_waste_events,,"evictions skipped, flushes cancelled, acquire spins, release spins, insert spins, delete spins, evict spins, flush spins",events/s,Netdata main Waste Events (netdata.dbengine_main_waste_events),line,,netdata,stats
netdata.dbengine_memory,,"main cache, open cache, extent cache, metrics registry, buffers",bytes,Netdata DB Memory (netdata.dbengine_memory),stacked,,netdata,stats
netdata.dbengine_metrics,,"all, acquired, collected, with retention, without retention, multi-collected",metrics,Netdata Metrics in Metrics Registry (netdata.dbengine_metrics),line,,netdata,stats
netdata.dbengine_metrics_registry_operations,,"add, delete, search",metrics,Netdata Metrics Registry Operations (netdata.dbengine_metrics_registry_operations),line,,netdata,stats
netdata.dbengine_metrics_registry_references,,references,references,Netdata Metrics Registry References (netdata.dbengine_metrics_registry_references),line,,netdata,stats
netdata.dbengine_open_cache_events,,"evictions aggressive, evictions critical, flushes critical",events/s,Netdata open Cache Events (netdata.dbengine_open_cache_events),area,,netdata,stats
netdata.dbengine_open_cache_hit_ratio,,"closest, exact",%,Netdata open Cache Hit Ratio (netdata.dbengine_open_cache_hit_ratio),line,,netdata,stats
netdata.dbengine_open_cache_memory,,"free, hot, dirty, clean, index, evicting, flushing",bytes,Netdata open Cache Memory (netdata.dbengine_open_cache_memory),stacked,,netdata,stats
netdata.dbengine_open_cache_memory_changes,,"new clean, evictions, new hot",bytes/s,Netdata open Cache Memory Changes (netdata.dbengine_open_cache_memory_changes),area,,netdata,stats
